Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Common Cold,chest_pain,chills,congestion,continuous_sneezing,cough,fatigue,headache,high_fever,loss_of_smell,malaise,muscle_pain,phlegm,redness_of_eyes,runny_nose,sinus_pressure,swelled_lymph_nodes,throat_irritation
Tuberculosis,blood_in_sputum,breathlessness,chest_pain,chills,cough,fatigue,high_fever,loss_of_appetite,malaise,mild_fever,phlegm,sweating,swelled_lymph_nodes,vomiting,weight_loss,yellowing_of_eyes,
Dengue,back_pain,chills,fatigue,headache,high_fever,joint_pain,loss_of_appetite,malaise,muscle_pain,nausea,pain_behind_the_eyes,red_spots_over_body,skin_rash,vomiting,,,
Hepatitis E,abdominal_pain,acute_liver_failure,coma,dark_urine,fatigue,high_fever,joint_pain,loss_of_appetite,nausea,stomach_bleeding,vomiting,yellowing_of_eyes,yellowish_skin,,,,
Hypothyroidism,abnormal_menstruation,brittle_nails,cold_hands_and_feet,depression,dizziness,enlarged_thyroid,fatigue,irritability,lethargy,mood_swings,puffy_face_and_eyes,swollen_extremities,weight_gain,,,,
Hypoglycemia,anxiety,blurred_and_distorted_vision,drying_and_tingling_lips,excessive_hunger,fatigue,headache,irritability,nausea,palpitations,slurred_speech,sweating,vomiting,,,,,
Hepatitis B,abdominal_pain,dark_urine,fatigue,itching,lethargy,loss_of_appetite,malaise,receiving_blood_transfusion,receiving_unsterile_injections,yellow_urine,yellowing_of_eyes,yellowish_skin,,,,,
Hyperthyroidism,abnormal_menstruation,diarrhoea,excessive_hunger,fast_heart_rate,fatigue,irritability,mood_swings,muscle_weakness,restlessness,sweating,weight_loss,,,,,,
Typhoid,abdominal_pain,belly_pain,chills,constipation,diarrhoea,fatigue,headache,high_fever,nausea,toxic_look_(typhus),vomiting,,,,,,
Pneumonia,breathlessness,chest_pain,chills,cough,fast_heart_rate,fatigue,high_fever,malaise,phlegm,rusty_sputum,sweating,,,,,,
Chicken pox,fatigue,headache,high_fever,itching,lethargy,loss_of_appetite,malaise,mild_fever,red_spots_over_body,skin_rash,swelled_lymph_nodes,,,,,,
Hepatitis A,abdominal_pain,dark_urine,diarrhoea,joint_pain,loss_of_appetite,mild_fever,muscle_pain,nausea,vomiting,yellowing_of_eyes,yellowish_skin,,,,,,
Diabetes ,blurred_and_distorted_vision,excessive_hunger,fatigue,increased_appetite,irregular_sugar_level,lethargy,obesity,polyuria,restlessness,weight_loss,,,,,,,
Migraine,acidity,blurred_and_distorted_vision,depression,excessive_hunger,headache,indigestion,irritability,stiff_neck,visual_disturbances,,,,,,,,
Hepatitis D,abdominal_pain,dark_urine,fatigue,joint_pain,loss_of_appetite,nausea,vomiting,yellowing_of_eyes,yellowish_skin,,,,,,,,
Malaria,chills,diarrhoea,headache,high_fever,muscle_pain,nausea,sweating,vomiting,,,,,,,,,
Jaundice,abdominal_pain,dark_urine,fatigue,high_fever,itching,vomiting,weight_loss,yellowish_skin,,,,,,,,,
Chronic cholestasis,abdominal_pain,itching,loss_of_appetite,nausea,vomiting,yellowing_of_eyes,yellowish_skin,,,,,,,,,,
Alcoholic hepatitis,abdominal_pain,distention_of_abdomen,fluid_overload,history_of_alcohol_consumption,swelling_of_stomach,vomiting,yellowish_skin,,,,,,,,,,
Varicose veins,bruising,cramps,fatigue,obesity,prominent_veins_on_calf,swollen_blood_vessels,swollen_legs,,,,,,,,,,
Paroxysmal Positional Vertigo,headache,loss_of_balance,nausea,spinning_movements,unsteadiness,vomiting,,,,,,,,,,,
Osteoarthritis,hip_joint_pain,joint_pain,knee_pain,neck_pain,painful_walking,swelling_joints,,,,,,,,,,,
Peptic ulcer disease,abdominal_pain,indigestion,internal_itching,loss_of_appetite,passage_of_gases,vomiting,,,,,,,,,,,
Psoriasis,inflammatory_nails,joint_pain,silver_like_dusting,skin_peeling,skin_rash,small_dents_in_nails,,,,,,,,,,,
Hepatitis C,family_history,fatigue,loss_of_appetite,nausea,yellowing_of_eyes,yellowish_skin,,,,,,,,,,,
GERD,acidity,chest_pain,cough,stomach_pain,ulcers_on_tongue,vomiting,,,,,,,,,,,
Bronchial Asthma,breathlessness,cough,family_history,fatigue,high_fever,mucoid_sputum,,,,,,,,,,,
Hypertension ,chest_pain,dizziness,headache,lack_of_concentration,loss_of_balance,,,,,,,,,,,,
Cervical spondylosis,back_pain,dizziness,loss_of_balance,neck_pain,weakness_in_limbs,,,,,,,,,,,,
Impetigo,blister,high_fever,red_sore_around_nose,skin_rash,yellow_crust_ooze,,,,,,,,,,,,
Arthritis,movement_stiffness,muscle_weakness,painful_walking,stiff_neck,swelling_joints,,,,,,,,,,,,
Drug Reaction,burning_micturition,itching,skin_rash,spotting_urination,stomach_pain,,,,,,,,,,,,
Dimorphic hemorrhoids(piles),bloody_stool,constipation,irritation_in_anus,pain_during_bowel_movements,pain_in_anal_region,,,,,,,,,,,,
Covid,cough,high_fever,loss_of_smell,loss_of_taste,tiredness,,,,,,,,,,,,
Urinary tract infection,bladder_discomfort,burning_micturition,continuous_feel_of_urine,foul_smell_of urine,,,,,,,,,,,,,
Allergy,chills,continuous_sneezing,shivering,watering_from_eyes,,,,,,,,,,,,,
Paralysis (brain hemorrhage),altered_sensorium,headache,vomiting,weakness_of_one_body_side,,,,,,,,,,,,,
Acne,blackheads,pus_filled_pimples,scurrying,skin_rash,,,,,,,,,,,,,
Fungal infection,dyschromic_patches,itching,nodal_skin_eruptions,skin_rash,,,,,,,,,,,,,
Gastroenteritis,dehydration,diarrhoea,sunken_eyes,vomiting,,,,,,,,,,,,,
Heart attack,breathlessness,chest_pain,sweating,vomiting,,,,,,,,,,,,,
AIDS,extra_marital_contacts,high_fever,muscle_wasting,patches_in_throat,,,,,,,,,,,,,
